﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:7BaDRi8gmRnOducT6KaOfc","Put a Flower in Your Pocket","The Arcs","Yours, Dreamily,","1","3","235320","spotify:user:martinthetallguy","2018-04-28T17:53:41Z"
"spotify:track:2epsOuB1aYQ7NJcIExslZf","Need You Tonight","Welshly Arms","Need You Tonight","1","1","274723","spotify:user:martinthetallguy","2018-05-04T11:38:23Z"
"spotify:track:3O8XITugw7W9svMQw0ODcf","Wolf","Highly Suspect","Wolf","1","1","416320","spotify:user:martinthetallguy","2018-05-04T11:57:43Z"
"spotify:track:6rBoGpZyddL9tIxitYrjoI","I'll Cry","Juanita Stein","America","1","4","226680","spotify:user:martinthetallguy","2018-05-10T06:15:53Z"
"spotify:track:470qwbnZGjoDgf45d3y5EV","Black Water","Timber Timbre","Creep On Creepin' On","1","4","359826","spotify:user:martinthetallguy","2018-05-10T11:41:34Z"
"spotify:track:4p7HnljTO1gInxKl7FUZ4Y","You're Not with Me","No Vacation","Intermission","1","2","226560","spotify:user:martinthetallguy","2018-05-10T18:08:49Z"
"spotify:track:3kfRkDH9mtCjutFRDzYJOW","Falling","My Friend Alan","Falling","1","1","306333","spotify:user:martinthetallguy","2018-05-11T11:06:18Z"
"spotify:track:0qmpEzs4SWVw6zqhMyrOvc","Pay No Mind","Beach House","7","1","2","204466","spotify:user:martinthetallguy","2018-05-18T10:35:40Z"
"spotify:track:0Ceozg27V0Ws9jgQixD8fr","Lose It","SWMRS","Drive North","1","14","240533","spotify:user:martinthetallguy","2018-05-25T08:26:48Z"
"spotify:track:4kAflSfOBf6Wv5ZD5abUvZ","No Longer Making Time","Slowdive","Slowdive","1","6","348107","spotify:user:martinthetallguy","2018-06-01T03:50:12Z"
"spotify:track:2UYlVilT1bhGPxX5RstPyL","When I Held You in My Arms","The Men","Drift","1","2","298880","spotify:user:martinthetallguy","2018-06-01T08:18:50Z"
"spotify:track:5hiHOQNrK7wqtyUENuuAW9","Flying Past The Moon","Colin John","Flying Past The Moon","1","1","199877","spotify:user:martinthetallguy","2018-06-06T04:45:59Z"
"spotify:track:1hQjRldnVW3On7QzoxGlht","so sad so sexy","Lykke Li","so sad so sexy","1","7","212426","spotify:user:martinthetallguy","2018-06-08T05:51:35Z"
