﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:3dvvQrTIzBbPh5egjpSs1n","Cupid","The Big Moon","Love In The 4th Dimension","1","3","223986","spotify:user:martinthetallguy","2018-04-02T12:07:30Z"
"spotify:track:3PVRSOQ57O3LO6HCAPkbfY","Deceptacon","Le Tigre","Le Tigre","1","1","184533","spotify:user:martinthetallguy","2018-04-02T12:07:30Z"
"spotify:track:5tA5shSEKB44zDYKkLfTOx","Different Now","Chastity Belt","Different Now","1","1","228800","spotify:user:martinthetallguy","2018-04-02T12:07:30Z"
"spotify:track:1eZXpmHIk9SaxmDjqMr3cs","Don't Call Me Babe","Shampoo","Girl Power","1","11","178693","spotify:user:martinthetallguy","2018-04-02T12:07:30Z"
"spotify:track:6Muhl8sEPbYbx0phuo2hQb","Drop","Estrons","Drop","1","1","202734","spotify:user:martinthetallguy","2018-04-02T12:07:30Z"
"spotify:track:4z5spGB7FRfhR2Kbjl7xPw","Eden","Makthaverskan","Eden","1","1","267200","spotify:user:martinthetallguy","2018-04-02T12:07:30Z"
"spotify:track:2ECROnazsrerAgpw1wAFbA","Every Day’s The Weekend","Alex Lahey","Every Day's The Weekend","1","1","190674","spotify:user:martinthetallguy","2018-04-02T12:07:30Z"
"spotify:track:0v2Ec8PYN7Ez24QY9jyTRc","Everybody Wants to Love You","Japanese Breakfast","Psychopomp","1","4","132631","spotify:user:martinthetallguy","2018-04-02T12:07:30Z"
"spotify:track:2O6a5vdso5oGAljp1j1bIE","Fight the Sea","Above the Moon","Patterns You Create","1","4","192952","spotify:user:martinthetallguy","2018-05-11T05:01:14Z"
"spotify:track:4jUEL32vUxogEjQfDDHLGd","Follow Me","The Coathangers","Suck My Shirt","1","1","232826","spotify:user:martinthetallguy","2018-04-02T12:07:30Z"
"spotify:track:5xcTXsQCDfyT5fHwrzPgzW","Garden","Hinds","Leave Me Alone","1","1","247746","spotify:user:martinthetallguy","2018-04-02T12:07:30Z"
"spotify:track:0yDKJQWKnRxDyzAGIS0bN7","Girlhood","The Preatures","Girlhood","1","1","154420","spotify:user:martinthetallguy","2018-04-02T12:07:30Z"
"spotify:track:1snTgWAiu5d20Rbke7aq9H","Great Things","Echobelly","On","1","3","210200","spotify:user:martinthetallguy","2018-04-02T12:07:30Z"
"spotify:track:3zvHOVC4jikl6jORSr6OLE","Heads Will Roll","Yeah Yeah Yeahs","It's Blitz!","1","2","221000","spotify:user:martinthetallguy","2018-04-02T12:07:30Z"
"spotify:track:3twm1m2HtONUDBkUE4iPju","Heat Wave","Snail Mail","Heat Wave","1","1","308346","spotify:user:martinthetallguy","2018-05-14T06:58:22Z"
"spotify:track:4znGPlVqO1SjtgVcVuPtFl","Heaven Sent","Best Coast","Heaven Sent","1","1","205720","spotify:user:martinthetallguy","2018-04-02T12:07:30Z"
"spotify:track:4fBkJ3DTCPKWUBBAtMdimK","Hedonism - Just Because You Feel Good","Skunk Anansie","Stoosh","1","5","207360","spotify:user:martinthetallguy","2018-04-02T12:07:30Z"
"spotify:track:0xIw77nO7kFfonEGlLfMHF","History Eraser","Courtney Barnett","The Double EP: A Sea of Split Peas","1","4","208320","spotify:user:martinthetallguy","2018-04-02T12:07:30Z"
