﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:5OHqaWsEAgox1gE6ix7FK3","Locked Out","Daddy Issues","Locked Out - Single","1","1","223120","spotify:user:martinthetallguy","2017-06-13T12:58:27Z"
"spotify:track:0Ceozg27V0Ws9jgQixD8fr","Lose It","SWMRS","Drive North","1","14","240533","spotify:user:martinthetallguy","2018-05-25T08:25:56Z"
"spotify:track:2wVXSc0IrQVodHESUxVUJA","Losing My Religion","R.E.M.","Out Of Time (25th Anniversary Edition)","1","2","268426","spotify:user:martinthetallguy","2017-06-13T12:58:27Z"
"spotify:track:3o1cohFfwd57rAvrbyVE5e","Love Love Love","Of Monsters and Men","My Head Is An Animal","1","8","238786","spotify:user:martinthetallguy","2017-06-13T12:58:27Z"
"spotify:track:5eB7w8UZJKjL5XmnC6Pctg","Lying Is The Most Fun A Girl Can Have Without Taking Her Clothes Off","Panic! At The Disco","A Fever You Can't Sweat Out","1","7","200226","spotify:user:martinthetallguy","2017-09-08T05:18:24Z"
"spotify:track:72DTGt2tVAL6ATVhzVjvkk","Lust For Life","Girls","Album","1","1","145293","spotify:user:martinthetallguy","2017-10-17T07:22:03Z"
"spotify:track:0bZelokqNQicLQfLU1Ayw8","Made of Stone - Remastered","The Stone Roses","The Stone Roses","1","8","254640","spotify:user:martinthetallguy","2017-10-18T05:07:34Z"
"spotify:track:3ZSkJEf6bXoYzkJ4uXTL9s","Man On The Moon","R.E.M.","Automatic For The People","1","10","314173","spotify:user:martinthetallguy","2017-06-13T12:58:27Z"
"spotify:track:2N60TAtXaCbmi7zqdUoW61","Marinade","DOPE LEMON","Honey Bones","1","1","237961","spotify:user:martinthetallguy","2017-06-13T12:58:27Z"
"spotify:track:0AJTKW9fVFo3rIXbtTVE3T","Mayonaise","The Smashing Pumpkins","Siamese Dream (2011 - Remaster)","1","9","348773","spotify:user:martinthetallguy","2017-06-13T12:58:27Z"
"spotify:track:62TH66BgtfpzzPgw6re4S8","Mellow Doubt","Teenage Fanclub","Grand Prix","1","3","162400","spotify:user:martinthetallguy","2017-06-13T12:58:27Z"
